Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
